Country,HDI,GNI
Bolivia,0.692,"8,111"
Kyrgyzstan,0.692,"4,566"
Venezuela,0.691,"4,811"
Iraq,0.686,"9,977"
Tajikistan,0.685,"4,548"
Belize,0.683,"6,309"
Morocco,0.683,"7,303"
El Salvador,0.675,"8,296"
Nicaragua,0.667,"5,625"
Bhutan,0.666,"9,438"
Cabo Verde,0.662,"6,230"
Bangladesh,0.661,"5,472"
Tuvalu,0.641,"6,351"
Marshall Islands,0.639,"4,620"
India,0.633,"6,590"
Ghana,0.632,"5,745"
Micronesia,0.628,"3,696"
Guatemala,0.627,"8,723"
Kiribati,0.624,"4,063"
Honduras,0.621,"5,298"
Sao Tome and Principe,0.618,"4,021"
Namibia,0.615,"8,634"
Lao People's Democratic Republic,0.607,"7,700"
Timor-Leste,0.607,"4,461"
Vanuatu,0.607,"3,085"
Nepal,0.602,"3,877"
Eswatini,0.597,"7,679"
Equatorial Guinea,0.596,"12,074"
Cambodia,0.593,"4,079"
Zimbabwe,0.593,"3,810"
Angola,0.586,"5,466"
Myanmar,0.585,"3,851"
Syrian Arab Republic,0.577,"4,192"
Cameroon,0.576,"3,621"
Kenya,0.575,"4,474"
Congo,0.571,"2,889"
Zambia,0.565,"3,218"
Solomon Islands,0.564,"2,482"
Comoros,0.558,"3,142"
Papua New Guinea,0.558,"4,009"
Mauritania,0.556,"5,075"
Côte d'Ivoire,0.550,"5,217"
Tanzania,0.549,"2,664"
Pakistan,0.544,"4,624"
Togo,0.539,"2,167"
Haiti,0.535,"2,848"
Nigeria,0.535,"4,790"
Rwanda,0.534,"2,210"
Benin,0.525,"3,409"
Uganda,0.525,"2,181"
Lesotho,0.514,"2,700"
Malawi,0.512,"1,466"
Senegal,0.511,"3,344"
Djibouti,0.509,"5,025"
Sudan,0.508,"3,575"
Madagascar,0.501,"1,484"
Gambia,0.500,"2,172"
Ethiopia,0.498,"2,361"
Eritrea,0.492,"1,729"
Guinea-Bissau,0.483,"1,908"
Liberia,0.481,"1,289"
Congo,0.479,"1,076"
Afghanistan,0.478,"1,824"
Sierra Leone,0.477,"1,622"
Guinea,0.465,"2,481"
Yemen,0.455,"1,314"
Burkina Faso,0.449,"2,118"
Mozambique,0.446,"1,198"
Mali,0.428,"2,133"
Burundi,0.426,732
Central African Republic,0.404,966
Niger,0.400,"1,240"
Chad,0.394,"1,364"
South Sudan,0.385,768
