Area,Item,Year,Unit,Value
Czechoslovakia,Natural gas (including LNG),2015,NULL,NULL
Czechoslovakia,Natural gas (including LNG),2020,NULL,NULL
Democratic People's Republic of Korea,Natural gas (including LNG),2010,NULL,NULL
Democratic People's Republic of Korea,Natural gas (including LNG),2015,NULL,NULL
Democratic People's Republic of Korea,Natural gas (including LNG),2020,NULL,NULL
Democratic Republic of the Congo,Natural gas (including LNG),2010,NULL,NULL
Democratic Republic of the Congo,Natural gas (including LNG),2015,NULL,NULL
Democratic Republic of the Congo,Natural gas (including LNG),2020,NULL,NULL
Denmark,Natural gas (including LNG),2010,kilotonnes,109.395
Denmark,Natural gas (including LNG),2015,kilotonnes,93.0138
Denmark,Natural gas (including LNG),2020,kilotonnes,96.7164
Djibouti,Natural gas (including LNG),2010,NULL,NULL
Djibouti,Natural gas (including LNG),2015,NULL,NULL
Djibouti,Natural gas (including LNG),2020,NULL,NULL
Dominica,Natural gas (including LNG),2010,NULL,NULL
Dominica,Natural gas (including LNG),2015,NULL,NULL
Dominica,Natural gas (including LNG),2020,NULL,NULL
Dominican Republic,Natural gas (including LNG),2010,kilotonnes,0.1121
Dominican Republic,Natural gas (including LNG),2015,kilotonnes,0.4539
Dominican Republic,Natural gas (including LNG),2020,kilotonnes,0.4378
Ecuador,Natural gas (including LNG),2010,NULL,NULL
Ecuador,Natural gas (including LNG),2015,kilotonnes,0.828
Ecuador,Natural gas (including LNG),2020,kilotonnes,2.2164
Egypt,Natural gas (including LNG),2010,kilotonnes,65.7406
Egypt,Natural gas (including LNG),2015,kilotonnes,173.6965
Egypt,Natural gas (including LNG),2020,kilotonnes,450.8222
El Salvador,Natural gas (including LNG),2010,NULL,NULL
El Salvador,Natural gas (including LNG),2015,NULL,NULL
El Salvador,Natural gas (including LNG),2020,NULL,NULL
Equatorial Guinea,Natural gas (including LNG),2010,kilotonnes,14.4234
Equatorial Guinea,Natural gas (including LNG),2015,kilotonnes,35.942
Equatorial Guinea,Natural gas (including LNG),2020,kilotonnes,50.8313
Eritrea,Natural gas (including LNG),2010,NULL,NULL
Eritrea,Natural gas (including LNG),2015,NULL,NULL
Eritrea,Natural gas (including LNG),2020,NULL,NULL
Estonia,Natural gas (including LNG),2010,kilotonnes,21.318
Estonia,Natural gas (including LNG),2015,kilotonnes,15.7641
Estonia,Natural gas (including LNG),2020,kilotonnes,10.6253
Eswatini,Natural gas (including LNG),2010,NULL,NULL
Eswatini,Natural gas (including LNG),2015,NULL,NULL
Eswatini,Natural gas (including LNG),2020,NULL,NULL
Ethiopia,Natural gas (including LNG),2010,NULL,NULL
Ethiopia,Natural gas (including LNG),2015,NULL,NULL
Ethiopia,Natural gas (including LNG),2020,NULL,NULL
Ethiopia PDR,Natural gas (including LNG),2010,NULL,NULL
Ethiopia PDR,Natural gas (including LNG),2015,NULL,NULL
Ethiopia PDR,Natural gas (including LNG),2020,NULL,NULL
Falkland Islands (Malvinas),Natural gas (including LNG),2010,NULL,NULL
Falkland Islands (Malvinas),Natural gas (including LNG),2015,kilotonnes,0.0044
Falkland Islands (Malvinas),Natural gas (including LNG),2020,kilotonnes,0.0045
Faroe Islands,Natural gas (including LNG),2010,NULL,NULL
Faroe Islands,Natural gas (including LNG),2015,NULL,NULL
Faroe Islands,Natural gas (including LNG),2020,NULL,NULL
Fiji,Natural gas (including LNG),2010,NULL,NULL
Fiji,Natural gas (including LNG),2015,NULL,NULL
Fiji,Natural gas (including LNG),2020,NULL,NULL
Finland,Natural gas (including LNG),2010,kilotonnes,15.5958
Finland,Natural gas (including LNG),2015,kilotonnes,2.3562
Finland,Natural gas (including LNG),2020,kilotonnes,2.345
France,Natural gas (including LNG),2010,kilotonnes,536.7648
France,Natural gas (including LNG),2015,kilotonnes,518.5323
France,Natural gas (including LNG),2020,kilotonnes,625.3916
French Guyana,Natural gas (including LNG),2010,NULL,NULL
French Guyana,Natural gas (including LNG),2015,NULL,NULL
French Guyana,Natural gas (including LNG),2020,NULL,NULL
French Polynesia,Natural gas (including LNG),2010,NULL,NULL
French Polynesia,Natural gas (including LNG),2015,NULL,NULL
French Polynesia,Natural gas (including LNG),2020,NULL,NULL
Gabon,Natural gas (including LNG),2010,kilotonnes,0.0192
Gabon,Natural gas (including LNG),2015,kilotonnes,0.0413
Gabon,Natural gas (including LNG),2020,kilotonnes,0.0677
Gambia,Natural gas (including LNG),2010,kilotonnes,0.0247
Gambia,Natural gas (including LNG),2015,kilotonnes,0.0428
Gambia,Natural gas (including LNG),2020,kilotonnes,0.0699
Georgia,Natural gas (including LNG),2010,kilotonnes,91.6113
Georgia,Natural gas (including LNG),2015,kilotonnes,9.157
Georgia,Natural gas (including LNG),2020,kilotonnes,19.8853
Germany,Natural gas (including LNG),2010,kilotonnes,861.1911
Germany,Natural gas (including LNG),2015,kilotonnes,828.8214
Germany,Natural gas (including LNG),2020,kilotonnes,591.9335
Ghana,Natural gas (including LNG),2010,NULL,NULL
Ghana,Natural gas (including LNG),2015,NULL,NULL
Ghana,Natural gas (including LNG),2020,kilotonnes,1.869
Gibraltar,Natural gas (including LNG),2010,NULL,NULL
Gibraltar,Natural gas (including LNG),2015,NULL,NULL
Gibraltar,Natural gas (including LNG),2020,NULL,NULL
Greece,Natural gas (including LNG),2010,kilotonnes,0.4728
Greece,Natural gas (including LNG),2015,kilotonnes,0.4488
Greece,Natural gas (including LNG),2020,kilotonnes,1.582
Greenland,Natural gas (including LNG),2010,NULL,NULL
Greenland,Natural gas (including LNG),2015,NULL,NULL
Greenland,Natural gas (including LNG),2020,NULL,NULL
Grenada,Natural gas (including LNG),2010,NULL,NULL
Grenada,Natural gas (including LNG),2015,NULL,NULL
Grenada,Natural gas (including LNG),2020,NULL,NULL
Guadeloupe,Natural gas (including LNG),2010,NULL,NULL
Guadeloupe,Natural gas (including LNG),2015,NULL,NULL
Guadeloupe,Natural gas (including LNG),2020,NULL,NULL
Guam,Natural gas (including LNG),2010,NULL,NULL
Guam,Natural gas (including LNG),2015,NULL,NULL
Guam,Natural gas (including LNG),2020,NULL,NULL
Guatemala,Natural gas (including LNG),2010,NULL,NULL
Guatemala,Natural gas (including LNG),2015,NULL,NULL
Guatemala,Natural gas (including LNG),2020,NULL,NULL
Guinea,Natural gas (including LNG),2010,kilotonnes,0.0011
Guinea,Natural gas (including LNG),2015,kilotonnes,0.0017
Guinea,Natural gas (including LNG),2020,kilotonnes,0.0036
Guinea-Bissau,Natural gas (including LNG),2010,NULL,NULL
Guinea-Bissau,Natural gas (including LNG),2015,NULL,NULL
Guinea-Bissau,Natural gas (including LNG),2020,NULL,NULL
Guyana,Natural gas (including LNG),2010,NULL,NULL
Guyana,Natural gas (including LNG),2015,NULL,NULL
Guyana,Natural gas (including LNG),2020,NULL,NULL
Haiti,Natural gas (including LNG),2010,NULL,NULL
Haiti,Natural gas (including LNG),2015,NULL,NULL
Haiti,Natural gas (including LNG),2020,NULL,NULL
Holy See,Natural gas (including LNG),2010,NULL,NULL
Holy See,Natural gas (including LNG),2015,NULL,NULL
Holy See,Natural gas (including LNG),2020,NULL,NULL
Honduras,Natural gas (including LNG),2010,NULL,NULL
Honduras,Natural gas (including LNG),2015,NULL,NULL
Honduras,Natural gas (including LNG),2020,NULL,NULL
Hungary,Natural gas (including LNG),2010,kilotonnes,322.1262
Hungary,Natural gas (including LNG),2015,kilotonnes,287.6808
Hungary,Natural gas (including LNG),2020,kilotonnes,259.9001
Iceland,Natural gas (including LNG),2010,NULL,NULL
Iceland,Natural gas (including LNG),2015,NULL,NULL
Iceland,Natural gas (including LNG),2020,NULL,NULL
India,Natural gas (including LNG),2010,kilotonnes,422.4921
India,Natural gas (including LNG),2015,kilotonnes,420.9183
India,Natural gas (including LNG),2020,kilotonnes,422.0543
Indonesia,Natural gas (including LNG),2010,kilotonnes,339.7059
Indonesia,Natural gas (including LNG),2015,kilotonnes,127.216
Indonesia,Natural gas (including LNG),2020,kilotonnes,195.9291
Iran (Islamic Republic of),Natural gas (including LNG),2010,kilotonnes,1034.5583
Iran (Islamic Republic of),Natural gas (including LNG),2015,kilotonnes,3590.0881
Iran (Islamic Republic of),Natural gas (including LNG),2020,kilotonnes,5405.4115
Iraq,Natural gas (including LNG),2010,kilotonnes,49.368
Iraq,Natural gas (including LNG),2015,kilotonnes,32.4834
Iraq,Natural gas (including LNG),2020,kilotonnes,18.7144
Ireland,Natural gas (including LNG),2010,kilotonnes,133.7029
Ireland,Natural gas (including LNG),2015,kilotonnes,118.0727
Ireland,Natural gas (including LNG),2020,kilotonnes,103.6044
Isle of Man,Natural gas (including LNG),2010,kilotonnes,2.6366
Isle of Man,Natural gas (including LNG),2015,kilotonnes,2.6384
Isle of Man,Natural gas (including LNG),2020,kilotonnes,1.94
Israel,Natural gas (including LNG),2010,kilotonnes,6.0017
Israel,Natural gas (including LNG),2015,kilotonnes,43.3649
Israel,Natural gas (including LNG),2020,kilotonnes,24.9546
Italy,Natural gas (including LNG),2010,kilotonnes,371.2137
Italy,Natural gas (including LNG),2015,kilotonnes,361.2279
Italy,Natural gas (including LNG),2020,kilotonnes,365.0876
Jamaica,Natural gas (including LNG),2010,NULL,NULL
Jamaica,Natural gas (including LNG),2015,NULL,NULL
Jamaica,Natural gas (including LNG),2020,NULL,NULL
Japan,Natural gas (including LNG),2010,kilotonnes,2.4123
Japan,Natural gas (including LNG),2015,kilotonnes,2.0757
Japan,Natural gas (including LNG),2020,kilotonnes,5.4193
Jordan,Natural gas (including LNG),2010,NULL,NULL
Jordan,Natural gas (including LNG),2015,NULL,NULL
Jordan,Natural gas (including LNG),2020,NULL,NULL
Kazakhstan,Natural gas (including LNG),2010,kilotonnes,45.8337
Kazakhstan,Natural gas (including LNG),2015,kilotonnes,58.8489
Kazakhstan,Natural gas (including LNG),2020,kilotonnes,134.1351
Kenya,Natural gas (including LNG),2010,NULL,NULL
Kenya,Natural gas (including LNG),2015,NULL,NULL
Kenya,Natural gas (including LNG),2020,NULL,NULL
Kiribati,Natural gas (including LNG),2010,NULL,NULL
Kiribati,Natural gas (including LNG),2015,NULL,NULL
Kiribati,Natural gas (including LNG),2020,NULL,NULL
Kuwait,Natural gas (including LNG),2010,kilotonnes,228.6378
Kuwait,Natural gas (including LNG),2015,kilotonnes,116.7175
Kuwait,Natural gas (including LNG),2020,kilotonnes,71.669
Kyrgyzstan,Natural gas (including LNG),2010,kilotonnes,3.1137
Kyrgyzstan,Natural gas (including LNG),2015,kilotonnes,6.1149
Kyrgyzstan,Natural gas (including LNG),2020,NULL,NULL
Lao People's Democratic Republic,Natural gas (including LNG),2010,NULL,NULL
Lao People's Democratic Republic,Natural gas (including LNG),2015,NULL,NULL
Lao People's Democratic Republic,Natural gas (including LNG),2020,NULL,NULL
Latvia,Natural gas (including LNG),2010,kilotonnes,39.831
Latvia,Natural gas (including LNG),2015,kilotonnes,32.0331
Latvia,Natural gas (including LNG),2020,kilotonnes,12.4542
Lebanon,Natural gas (including LNG),2010,NULL,NULL
Lebanon,Natural gas (including LNG),2015,NULL,NULL
Lebanon,Natural gas (including LNG),2020,NULL,NULL
Lesotho,Natural gas (including LNG),2010,NULL,NULL
Lesotho,Natural gas (including LNG),2015,NULL,NULL
Lesotho,Natural gas (including LNG),2020,NULL,NULL
Liberia,Natural gas (including LNG),2010,NULL,NULL
Liberia,Natural gas (including LNG),2015,NULL,NULL
Liberia,Natural gas (including LNG),2020,NULL,NULL
Libya,Natural gas (including LNG),2010,kilotonnes,7.8314
Libya,Natural gas (including LNG),2015,kilotonnes,18.7552
Libya,Natural gas (including LNG),2020,kilotonnes,39.8685
Liechtenstein,Natural gas (including LNG),2010,kilotonnes,1.7804
Liechtenstein,Natural gas (including LNG),2015,kilotonnes,1.5789
Liechtenstein,Natural gas (including LNG),2020,kilotonnes,1.5481
Lithuania,Natural gas (including LNG),2010,kilotonnes,81.4011
Lithuania,Natural gas (including LNG),2015,kilotonnes,54.3609
Lithuania,Natural gas (including LNG),2020,kilotonnes,54.6526
Luxembourg,Natural gas (including LNG),2010,kilotonnes,0.0561
Luxembourg,Natural gas (including LNG),2015,kilotonnes,0.3366
Luxembourg,Natural gas (including LNG),2020,kilotonnes,0.5498
Madagascar,Natural gas (including LNG),2010,NULL,NULL
Madagascar,Natural gas (including LNG),2015,NULL,NULL
Madagascar,Natural gas (including LNG),2020,NULL,NULL
Malawi,Natural gas (including LNG),2010,NULL,NULL
Malawi,Natural gas (including LNG),2015,NULL,NULL
Malawi,Natural gas (including LNG),2020,NULL,NULL
Malaysia,Natural gas (including LNG),2010,kilotonnes,147.5623
Malaysia,Natural gas (including LNG),2015,kilotonnes,92.6893
Malaysia,Natural gas (including LNG),2020,kilotonnes,150.6201
Maldives,Natural gas (including LNG),2010,NULL,NULL
Maldives,Natural gas (including LNG),2015,NULL,NULL
Maldives,Natural gas (including LNG),2020,NULL,NULL
Mali,Natural gas (including LNG),2010,NULL,NULL
Mali,Natural gas (including LNG),2015,NULL,NULL
Mali,Natural gas (including LNG),2020,NULL,NULL
Malta,Natural gas (including LNG),2010,NULL,NULL
Malta,Natural gas (including LNG),2015,NULL,NULL
Malta,Natural gas (including LNG),2020,NULL,NULL
Marshall Islands,Natural gas (including LNG),2010,NULL,NULL
Marshall Islands,Natural gas (including LNG),2015,NULL,NULL
Marshall Islands,Natural gas (including LNG),2020,NULL,NULL
Martinique,Natural gas (including LNG),2010,NULL,NULL
Martinique,Natural gas (including LNG),2015,NULL,NULL
Martinique,Natural gas (including LNG),2020,NULL,NULL
Mauritania,Natural gas (including LNG),2010,NULL,NULL
Mauritania,Natural gas (including LNG),2015,NULL,NULL
Mauritania,Natural gas (including LNG),2020,NULL,NULL
Mauritius,Natural gas (including LNG),2010,NULL,NULL
Mauritius,Natural gas (including LNG),2015,NULL,NULL
Mauritius,Natural gas (including LNG),2020,NULL,NULL
Mayotte,Natural gas (including LNG),2010,NULL,NULL
Mayotte,Natural gas (including LNG),2015,NULL,NULL
Mayotte,Natural gas (including LNG),2020,NULL,NULL
Mexico,Natural gas (including LNG),2010,kilotonnes,520.2875
Mexico,Natural gas (including LNG),2015,kilotonnes,481.2682
Mexico,Natural gas (including LNG),2020,kilotonnes,613.3951
Micronesia (Federated States of),Natural gas (including LNG),2010,NULL,NULL
Micronesia (Federated States of),Natural gas (including LNG),2015,NULL,NULL
Micronesia (Federated States of),Natural gas (including LNG),2020,NULL,NULL
Monaco,Natural gas (including LNG),2010,NULL,NULL
Monaco,Natural gas (including LNG),2015,NULL,NULL
Monaco,Natural gas (including LNG),2020,NULL,NULL
Mongolia,Natural gas (including LNG),2010,NULL,NULL
Mongolia,Natural gas (including LNG),2015,NULL,NULL
Mongolia,Natural gas (including LNG),2020,NULL,NULL
Montenegro,Natural gas (including LNG),2010,NULL,NULL
Montenegro,Natural gas (including LNG),2015,NULL,NULL
Montenegro,Natural gas (including LNG),2020,NULL,NULL
Montserrat,Natural gas (including LNG),2010,NULL,NULL
Montserrat,Natural gas (including LNG),2015,NULL,NULL
Montserrat,Natural gas (including LNG),2020,NULL,NULL
Morocco,Natural gas (including LNG),2010,kilotonnes,0.4493
Morocco,Natural gas (including LNG),2015,kilotonnes,1.1168
Morocco,Natural gas (including LNG),2020,kilotonnes,1.7406
Mozambique,Natural gas (including LNG),2010,kilotonnes,0.6329
Mozambique,Natural gas (including LNG),2015,kilotonnes,4.1626
Mozambique,Natural gas (including LNG),2020,kilotonnes,2.8786
Myanmar,Natural gas (including LNG),2010,kilotonnes,17.4747
Myanmar,Natural gas (including LNG),2015,kilotonnes,11.5695
Myanmar,Natural gas (including LNG),2020,kilotonnes,7.2862
Namibia,Natural gas (including LNG),2010,NULL,NULL
Namibia,Natural gas (including LNG),2015,NULL,NULL
Namibia,Natural gas (including LNG),2020,NULL,NULL
Nauru,Natural gas (including LNG),2010,NULL,NULL
Nauru,Natural gas (including LNG),2015,NULL,NULL
Nauru,Natural gas (including LNG),2020,NULL,NULL
Nepal,Natural gas (including LNG),2010,NULL,NULL
Nepal,Natural gas (including LNG),2015,NULL,NULL
Nepal,Natural gas (including LNG),2020,NULL,NULL
Netherlands,Natural gas (including LNG),2010,kilotonnes,7355.4954
Netherlands,Natural gas (including LNG),2015,kilotonnes,5595.7506
Netherlands,Natural gas (including LNG),2020,kilotonnes,5387.5972
Netherlands Antilles (former),Natural gas (including LNG),2010,NULL,NULL
Netherlands Antilles (former),Natural gas (including LNG),2015,NULL,NULL
Netherlands Antilles (former),Natural gas (including LNG),2020,NULL,NULL
New Caledonia,Natural gas (including LNG),2010,NULL,NULL
New Caledonia,Natural gas (including LNG),2015,NULL,NULL
New Caledonia,Natural gas (including LNG),2020,NULL,NULL
New Zealand,Natural gas (including LNG),2010,kilotonnes,82.5231
New Zealand,Natural gas (including LNG),2015,kilotonnes,92.3967
New Zealand,Natural gas (including LNG),2020,kilotonnes,68.4644
Nicaragua,Natural gas (including LNG),2010,NULL,NULL
Nicaragua,Natural gas (including LNG),2015,NULL,NULL
Nicaragua,Natural gas (including LNG),2020,NULL,NULL
Niger,Natural gas (including LNG),2010,NULL,NULL
